time,sea_level_m,temperature_C,dissolved_o2,salinity_psu,current_u,current_v,current_speed_m_s,ph,turbidity_kd
2021-08-12,0.4204354,19.374306,281.69223,18.234926,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-13,0.4213374,19.374306,281.69223,18.252405,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-14,0.41800582,19.374306,281.69223,18.257362,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-15,0.41325203,19.374306,281.69223,18.258404,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-16,0.41137108,19.374306,281.69223,18.256893,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-17,0.40792775,19.374306,281.69223,18.253353,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-18,0.4061371,19.374306,281.69223,18.24934,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-19,0.40400878,19.374306,281.69223,18.264185,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-20,0.39960387,19.374306,281.69223,18.276653,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-21,0.39487046,19.374306,281.69223,18.286583,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-22,0.39113432,19.374306,281.69223,18.288704,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-23,0.3881786,19.374306,281.69223,18.284847,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
