time,salinity_psu
2023-10-09,18.481556
2023-10-10,
2023-10-11,18.479586
2023-10-12,
2023-10-13,18.482052
2023-10-14,
2023-10-15,18.485418
2023-10-16,
2023-10-17,18.50701
2023-10-18,
2023-10-19,18.498789
2023-10-20,
2023-10-21,18.506842
2023-10-22,
2023-10-23,18.493946
2023-10-24,
2023-10-25,18.497355
2023-10-26,
2023-10-27,18.499786
2023-10-28,
2023-10-29,18.501259
2023-10-30,
2023-10-31,18.49451
2023-11-01,
2023-11-02,18.490911
2023-11-03,
2023-11-04,18.490646
2023-11-05,
2023-11-06,18.486805
2023-11-07,
2023-11-08,18.488811
2023-11-09,
2023-11-10,18.492596
2023-11-11,
2023-11-12,18.499798
2023-11-13,
2023-11-14,18.496164
2023-11-15,
2023-11-16,18.482967
2023-11-17,
2023-11-18,18.478434
2023-11-19,
2023-11-20,18.476809
2023-11-21,
2023-11-22,18.476456
2023-11-23,
2023-11-24,18.481556
2023-11-25,
2023-11-26,18.484234
2023-11-27,
2023-11-28,18.501017
2023-11-29,
2023-11-30,18.511162
2023-12-01,
2023-12-02,18.507616
2023-12-03,
2023-12-04,18.507936
2023-12-05,
2023-12-06,18.507349
2023-12-07,
2023-12-08,18.50227
2023-12-09,
2023-12-10,18.500153
2023-12-11,
2023-12-12,18.496824
2023-12-13,
2023-12-14,18.513079
2023-12-15,
2023-12-16,18.520908
2023-12-17,
2023-12-18,18.507875
2023-12-19,
2023-12-20,18.493093
2023-12-21,
2023-12-22,18.50128
